Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RCAgentBrain,0.873,70.396,66.753,10260,-20.780
RCAgentBrain,1.146,137.048,63.757,10362,-19.456
RCAgentBrain,0.815,205.416,65.722,10380,-18.656
RCAgentBrain,0.846,271.388,63.367,10314,-18.611
RCAgentBrain,0.856,338.333,64.303,10548,-18.738
RCAgentBrain,0.832,404.290,63.370,10260,-18.599
RCAgentBrain,0.831,471.454,64.548,10422,-18.350
RCAgentBrain,0.809,538.062,64.037,10284,-18.100
RCAgentBrain,0.815,603.542,62.957,10278,-18.160
RCAgentBrain,0.842,669.915,63.787,10368,-18.088
RCAgentBrain,0.822,736.350,63.846,10386,-18.052
RCAgentBrain,0.812,802.939,64.025,10320,-17.881
RCAgentBrain,0.826,869.765,64.251,10398,-17.764
RCAgentBrain,0.819,938.229,65.860,10470,-17.446
RCAgentBrain,0.837,1004.958,64.137,10350,-17.388
RCAgentBrain,0.839,1070.622,63.093,10446,-17.498
RCAgentBrain,0.822,1136.883,63.697,10338,-17.388
RCAgentBrain,0.834,1202.874,63.384,10278,-17.326
RCAgentBrain,0.832,1273.750,68.182,10422,-17.134
RCAgentBrain,1.361,1344.844,67.893,10248,-16.958
RCAgentBrain,1.153,1414.647,66.803,10314,-16.852
RCAgentBrain,0.966,1483.068,65.665,10290,-16.759
RCAgentBrain,0.836,1555.103,69.238,10380,-16.693
RCAgentBrain,0.818,1622.512,64.810,10488,-16.621
RCAgentBrain,0.833,1686.355,61.350,10392,-16.578
RCAgentBrain,0.833,1757.932,68.876,10350,-16.433
RCAgentBrain,1.091,1837.600,76.487,10308,-16.351
RCAgentBrain,0.850,1909.885,69.193,10248,-16.229
RCAgentBrain,0.821,1976.074,63.583,10296,-16.132
RCAgentBrain,0.841,2042.375,63.700,10290,-15.991
RCAgentBrain,0.816,2107.812,62.844,10368,-15.941
RCAgentBrain,0.836,2173.820,63.392,10242,-15.823
RCAgentBrain,0.884,2239.681,63.196,10278,-15.756
RCAgentBrain,0.817,2305.975,63.691,10332,-15.658
RCAgentBrain,0.843,2371.530,62.952,10326,-15.600
RCAgentBrain,0.820,2438.157,64.022,10356,-15.502
RCAgentBrain,0.815,2504.803,64.069,10254,-15.370
RCAgentBrain,0.844,2570.679,63.293,10302,-15.303
