Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RCAgentBrain,0.868,61.820,58.304,10302,-34.397
RCAgentBrain,0.840,123.225,58.777,10536,-32.345
RCAgentBrain,0.839,185.321,59.483,10488,-32.249
RCAgentBrain,0.838,246.629,58.694,10482,-32.659
RCAgentBrain,0.823,307.228,58.007,10374,-32.163
RCAgentBrain,0.828,368.292,58.491,10404,-31.620
RCAgentBrain,0.830,429.596,58.692,10458,-31.158
RCAgentBrain,0.831,489.592,57.438,10272,-31.792
RCAgentBrain,0.820,549.985,57.823,10278,-31.660
RCAgentBrain,0.846,611.147,58.550,10434,-31.335
RCAgentBrain,0.833,671.938,58.225,10386,-31.331
RCAgentBrain,0.822,732.725,58.236,10320,-31.126
RCAgentBrain,0.833,793.376,58.068,10374,-31.036
RCAgentBrain,0.838,855.365,59.369,10596,-30.902
RCAgentBrain,0.834,916.047,58.130,10362,-30.629
RCAgentBrain,0.833,977.278,58.636,10500,-30.707
RCAgentBrain,0.830,1038.758,58.886,10458,-30.484
RCAgentBrain,0.829,1099.211,57.896,10260,-30.310
RCAgentBrain,0.824,1159.618,57.849,10278,-30.134
RCAgentBrain,0.824,1220.528,58.350,10380,-30.166
RCAgentBrain,0.829,1282.094,58.980,10482,-30.076
RCAgentBrain,0.827,1343.250,58.599,10386,-30.062
RCAgentBrain,0.870,1405.373,59.499,10566,-30.051
RCAgentBrain,0.836,1466.907,58.958,10500,-30.071
RCAgentBrain,0.840,1528.747,59.231,10464,-29.926
RCAgentBrain,0.834,1589.410,58.093,10278,-29.513
RCAgentBrain,0.835,1649.479,57.530,10254,-29.619
RCAgentBrain,0.831,1710.422,58.395,10332,-29.471
RCAgentBrain,1.673,70951.178,69236.907,10614,-29.423
