Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RCAgentBrain,14.840,89.028,70.989,10464,0.000
RCAgentBrain,16.151,176.096,69.075,10278,0.000
RCAgentBrain,15.152,262.725,69.607,10242,0.000
RCAgentBrain,15.128,349.187,69.496,10314,0.000
RCAgentBrain,14.764,436.694,70.873,10284,0.000
RCAgentBrain,14.166,522.846,70.136,10308,0.000
RCAgentBrain,14.071,607.522,68.779,10242,0.000
RCAgentBrain,14.158,694.119,70.558,10326,0.000
RCAgentBrain,14.104,779.559,69.495,10338,0.000
RCAgentBrain,14.128,865.097,69.589,10302,0.000
RCAgentBrain,14.070,950.346,69.343,10308,0.000
RCAgentBrain,14.070,1034.774,68.544,10242,0.000
RCAgentBrain,14.163,1119.743,68.990,10290,0.000
RCAgentBrain,14.356,1204.619,68.711,10278,0.000
RCAgentBrain,14.215,1289.370,68.718,10254,0.000
RCAgentBrain,14.073,1373.992,68.729,10242,0.000
RCAgentBrain,14.198,1458.856,68.853,10254,0.000
RCAgentBrain,14.292,1543.599,68.653,10242,0.000
RCAgentBrain,14.108,1628.087,68.571,10242,0.000
RCAgentBrain,14.122,1712.678,68.644,10254,0.000
RCAgentBrain,14.154,1799.464,70.763,10536,0.000
RCAgentBrain,14.145,1885.000,69.559,10326,0.000
RCAgentBrain,14.094,1971.767,70.789,10506,0.000
RCAgentBrain,14.119,2056.567,68.852,10278,0.000
RCAgentBrain,14.120,2141.996,69.468,10308,0.000
RCAgentBrain,14.060,2227.124,69.243,10308,0.000
RCAgentBrain,14.104,2311.161,68.100,10338,0.000
RCAgentBrain,14.078,2395.436,68.398,10248,0.000
RCAgentBrain,14.195,2482.172,70.297,10488,0.000
RCAgentBrain,14.156,2567.135,68.984,10290,0.000
RCAgentBrain,14.156,2652.179,69.063,10266,0.000
RCAgentBrain,14.128,2737.753,69.605,10362,0.000
RCAgentBrain,14.087,2824.027,70.329,10494,0.000
RCAgentBrain,14.113,2908.878,68.919,10326,0.000
RCAgentBrain,14.066,2993.703,68.931,10242,0.000
RCAgentBrain,14.242,3079.426,69.627,10392,0.000
RCAgentBrain,14.241,3163.938,68.440,10260,0.000
RCAgentBrain,14.194,3248.893,68.951,10326,0.000
RCAgentBrain,14.242,3335.272,70.240,10320,0.000
